id,tag_id,snippet_id,created_at,updated_at
884,133,218,2015-05-10 17:59:02,2015-05-10 17:59:02
885,9,245,2015-05-10 18:01:57,2015-05-10 18:01:57
886,132,245,2015-05-10 18:01:57,2015-05-10 18:01:57
887,144,245,2015-05-10 18:01:57,2015-05-10 18:01:57
888,145,245,2015-05-10 18:01:57,2015-05-10 18:01:57
889,146,245,2015-05-10 18:01:57,2015-05-10 18:01:57
890,147,245,2015-05-10 18:01:57,2015-05-10 18:01:57
895,11,15,2015-05-11 09:33:01,2015-05-11 09:33:01
897,129,255,2015-05-11 11:20:32,2015-05-11 11:20:32
898,11,253,2015-05-11 12:01:20,2015-05-11 12:01:20
909,9,258,2015-05-11 13:43:07,2015-05-11 13:43:07
911,9,257,2015-05-11 13:54:18,2015-05-11 13:54:18
912,9,259,2015-05-11 14:04:57,2015-05-11 14:04:57
913,9,247,2015-05-11 14:11:28,2015-05-11 14:11:28
916,9,260,2015-05-11 14:35:07,2015-05-11 14:35:07
917,132,260,2015-05-11 14:35:07,2015-05-11 14:35:07
920,136,262,2015-05-11 18:07:20,2015-05-11 18:07:20
921,151,262,2015-05-11 18:07:20,2015-05-11 18:07:20
926,152,263,2015-05-11 21:16:46,2015-05-11 21:16:46
927,153,263,2015-05-11 21:16:46,2015-05-11 21:16:46
928,154,263,2015-05-11 21:16:46,2015-05-11 21:16:46
929,11,263,2015-05-11 21:16:46,2015-05-11 21:16:46
936,7,256,2015-05-12 01:47:52,2015-05-12 01:47:52
937,9,256,2015-05-12 01:47:52,2015-05-12 01:47:52
957,7,265,2015-05-12 02:57:12,2015-05-12 02:57:12
958,9,264,2015-05-12 03:12:32,2015-05-12 03:12:32
959,132,264,2015-05-12 03:12:32,2015-05-12 03:12:32
981,11,266,2015-05-14 12:36:55,2015-05-14 12:36:55
982,7,268,2015-05-14 12:56:24,2015-05-14 12:56:24
983,155,268,2015-05-14 12:56:24,2015-05-14 12:56:24
1034,142,273,2015-05-15 16:08:17,2015-05-15 16:08:17
1035,7,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1036,156,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1037,157,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1038,132,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1039,9,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1040,155,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1041,140,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1042,158,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1043,159,269,2015-05-15 16:42:54,2015-05-15 16:42:54
1052,9,274,2015-05-16 01:43:24,2015-05-16 01:43:24
1053,132,274,2015-05-16 01:43:24,2015-05-16 01:43:24
1056,9,271,2015-05-16 01:46:42,2015-05-16 01:46:42
1057,132,271,2015-05-16 01:46:42,2015-05-16 01:46:42
1058,9,275,2015-05-16 02:00:15,2015-05-16 02:00:15
1059,7,270,2015-05-16 16:18:15,2015-05-16 16:18:15
1078,9,276,2015-05-16 18:31:40,2015-05-16 18:31:40
1079,132,276,2015-05-16 18:31:40,2015-05-16 18:31:40
1080,159,276,2015-05-16 18:31:40,2015-05-16 18:31:40
1083,70,279,2015-05-18 07:09:27,2015-05-18 07:09:27
1084,13,278,2015-05-19 01:58:42,2015-05-19 01:58:42
1087,116,281,2015-05-19 02:24:06,2015-05-19 02:24:06
1088,160,281,2015-05-19 02:24:06,2015-05-19 02:24:06
1096,116,282,2015-05-19 10:31:07,2015-05-19 10:31:07
1097,160,282,2015-05-19 10:31:07,2015-05-19 10:31:07
1104,40,284,2015-05-19 10:59:14,2015-05-19 10:59:14
1105,11,284,2015-05-19 10:59:14,2015-05-19 10:59:14
1116,7,280,2015-05-20 05:35:17,2015-05-20 05:35:17
1129,40,283,2015-05-20 11:44:09,2015-05-20 11:44:09
1130,11,283,2015-05-20 11:44:09,2015-05-20 11:44:09
1131,11,287,2015-05-20 12:52:29,2015-05-20 12:52:29
1132,11,288,2015-05-20 13:06:54,2015-05-20 13:06:54
1133,40,288,2015-05-20 13:06:54,2015-05-20 13:06:54
1140,9,285,2015-05-21 05:27:33,2015-05-21 05:27:33
1141,132,285,2015-05-21 05:27:33,2015-05-21 05:27:33
1146,38,290,2015-05-22 02:26:22,2015-05-22 02:26:22
1147,39,290,2015-05-22 02:26:22,2015-05-22 02:26:22
1154,70,291,2015-05-23 07:52:38,2015-05-23 07:52:38
